Season,ClubTM,MarketValueEUR
2019/20,VfL Wolfsburg,230700000.0
2019/20,SV Werder Bremen,162280000.0
2019/20,SC Freiburg,113980000.0
2019/20,1.FSV Mainz 05,148600000.0
2019/20,FC Augsburg,116050000.0
2019/20,1.FC Köln,101100000.0
2019/20,Fortuna Düsseldorf,81650000.0
2019/20,1.FC Union Berlin,35580000.0
2019/20,SC Paderborn 07,24100000.0
2020/21,Bayern Munich,835250000.0
2020/21,Borussia Dortmund,579750000.0
2020/21,RB Leipzig,481780000.0
2020/21,Bayer 04 Leverkusen,322650000.0
2020/21,Borussia Mönchengladbach,309680000.0
2020/21,Eintracht Frankfurt,195530000.0
2020/21,VfL Wolfsburg,208200000.0
2020/21,Hertha BSC,216730000.0
2020/21,TSG 1899 Hoffenheim,213880000.0
2020/21,VfB Stuttgart,73700000.0
2020/21,1.FSV Mainz 05,115800000.0
2020/21,SC Freiburg,99080000.0
2020/21,FC Schalke 04,177030000.0
2020/21,1.FC Köln,89900000.0
2020/21,SV Werder Bremen,121200000.0
2020/21,FC Augsburg,106800000.0
2020/21,1.FC Union Berlin,61550000.0
2020/21,Arminia Bielefeld,34000000.0
2021/22,Bayern Munich,826500000.0
2021/22,Borussia Dortmund,570550000.0
2021/22,RB Leipzig,562600000.0
2021/22,Bayer 04 Leverkusen,378250000.0
2021/22,VfL Wolfsburg,287730000.0
2021/22,Borussia Mönchengladbach,296550000.0
2021/22,Eintracht Frankfurt,222050000.0
2021/22,TSG 1899 Hoffenheim,205200000.0
2021/22,SC Freiburg,132650000.0
2021/22,VfB Stuttgart,164800000.0
2021/22,Hertha BSC,183950000.0
2021/22,1.FSV Mainz 05,104200000.0
2021/22,1.FC Union Berlin,87300000.0
2021/22,1.FC Köln,77950000.0
2021/22,FC Augsburg,98250000.0
2021/22,Arminia Bielefeld,44150000.0
2021/22,VfL Bochum,30600000.0
2021/22,SpVgg Greuther Fürth,28230000.0
2022/23,Bayern Munich,870230000.0
2022/23,Borussia Dortmund,509450000.0
2022/23,RB Leipzig,486180000.0
2022/23,Bayer 04 Leverkusen,455350000.0
2022/23,Eintracht Frankfurt,250250000.0
2022/23,Borussia Mönchengladbach,178950000.0
2022/23,VfL Wolfsburg,239650000.0
2022/23,SC Freiburg,149550000.0
2022/23,TSG 1899 Hoffenheim,176400000.0
2022/23,1.FC Union Berlin,94700000.0
2022/23,VfB Stuttgart,142080000.0
2022/23,1.FSV Mainz 05,112250000.0
2022/23,FC Augsburg,99100000.0
2022/23,1.FC Köln,91730000.0
2022/23,Hertha BSC,127350000.0
2022/23,SV Werder Bremen,62650000.0
2022/23,FC Schalke 04,65450000.0
2022/23,VfL Bochum,38000000.0
2023/24,Bayern Munich,981200000.0
2023/24,Bayer 04 Leverkusen,427750000.0
2023/24,RB Leipzig,406900000.0
2023/24,Borussia Dortmund,461150000.0
2023/24,VfB Stuttgart,136500000.0
2023/24,Eintracht Frankfurt,276700000.0
2023/24,VfL Wolfsburg,214100000.0
2023/24,SC Freiburg,165580000.0
2023/24,TSG 1899 Hoffenheim,130550000.00000001
2023/24,Borussia Mönchengladbach,187730000.0
2023/24,1.FC Union Berlin,179000000.0
2023/24,1.FSV Mainz 05,117850000.0
2023/24,FC Augsburg,124700000.0
2023/24,SV Werder Bremen,98500000.0
2023/24,1.FC Köln,95250000.0
2023/24,1.FC Heidenheim 1846,29150000.0
2023/24,VfL Bochum,52250000.0
2023/24,SV Darmstadt 98,27200000.0
2024/25,Bayern Munich,947150000.0
2024/25,Bayer 04 Leverkusen,667550000.0
2024/25,RB Leipzig,492130000.0
2024/25,Borussia Dortmund,511100000.0
2024/25,Eintracht Frankfurt,231050000.0
2024/25,VfB Stuttgart,269130000.0
2024/25,VfL Wolfsburg,219450000.0
2024/25,Borussia Mönchengladbach,164150000.0
2024/25,TSG 1899 Hoffenheim,129050000.00000001
2024/25,SC Freiburg,181500000.0
2024/25,1.FSV Mainz 05,79350000.0
2024/25,FC Augsburg,105450000.0
2024/25,1.FC Union Berlin,129680000.0
2024/25,SV Werder Bremen,109250000.0
2024/25,1.FC Heidenheim 1846,46150000.0
2024/25,FC St. Pauli,37880000.0
2024/25,VfL Bochum,55280000.0
2024/25,Holstein Kiel,32350000.0
2025/26,Bayern Munich,905500000.0
2025/26,RB Leipzig,485750000.0
2025/26,Borussia Dortmund,402100000.0
2025/26,Bayer 04 Leverkusen,411750000.0
2025/26,VfB Stuttgart,295130000.0
2025/26,Eintracht Frankfurt,342400000.0
2025/26,TSG 1899 Hoffenheim,161950000.0
2025/26,SC Freiburg,170700000.0
2025/26,VfL Wolfsburg,276400000.0
2025/26,Hamburger SV,69150000.0
2025/26,SV Werder Bremen,127800000.0
2025/26,FC Augsburg,122830000.0
2025/26,1.FSV Mainz 05,138580000.0
2025/26,1.FC Köln,79080000.0
2025/26,Borussia Mönchengladbach,147350000.0
2025/26,1.FC Union Berlin,122400000.0
2025/26,1.FC Heidenheim 1846,57400000.0
2025/26,FC St. Pauli,48150000.0
